customer_number,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography,Gender,Exited
C000000,743,70,1,459534.61,1,0,0,566296.87,Karachi,Male,1
C000001,746,31,4,288949.69,2,1,0,548483.2,Lahore,Female,0
C000002,790,34,1,363751.0,4,1,0,364554.67,Lahore,Female,0
C000003,607,36,4,439785.17,1,1,0,117814.76,Islamabad,Male,0
C000004,670,30,6,453029.12,2,1,0,297496.41,Karachi,Female,0
C000005,435,48,6,264512.58,2,0,1,446092.05,Karachi,Male,0
C000006,446,29,8,270471.04,4,0,1,572972.52,Karachi,Male,1
C000007,813,27,2,425469.42,3,0,1,243744.47,Quetta,Male,0
C000008,775,57,3,403742.72,3,0,0,479416.03,Peshawar,Male,0
C000009,791,71,8,349429.3,1,1,1,422670.82,Lahore,Female,1
C000010,826,45,7,302232.15,4,1,1,83843.96,Peshawar,Male,0
C000011,615,24,6,308607.55,1,1,0,352467.04,Karachi,Male,1
C000012,412,47,7,181455.67,4,1,1,142764.95,Karachi,Female,0
C000013,452,57,8,420458.87,1,0,1,422787.6,Islamabad,Male,0
C000014,603,42,3,308889.85,1,0,1,381647.51,Karachi,Male,0
C000015,804,34,4,111764.03,4,1,1,584906.93,Karachi,Male,0
C000016,666,32,8,119921.64,3,0,0,563814.29,Peshawar,Female,0
C000017,350,29,6,430801.51,1,0,1,45248.79,Lahore,Male,0
C000018,503,67,3,312853.77,4,1,0,84816.48,Quetta,Male,1
C000019,842,67,5,199352.06,4,0,0,470715.21,Karachi,Female,0
C000020,610,69,10,93550.38,4,0,1,423960.12,Lahore,Female,0
C000021,384,35,0,305107.99,2,1,0,488529.54,Karachi,Female,1
C000022,730,54,0,92155.19,4,1,0,189416.36,Peshawar,Male,0
C000023,746,23,8,235083.52,4,1,0,515620.75,Karachi,Female,0
C000024,376,22,7,338755.27,2,0,0,287754.9,Lahore,Female,0
C000025,745,32,0,282707.72,2,1,1,186668.75,Karachi,Female,0
C000026,699,27,10,461049.95,3,1,1,45940.34,Islamabad,Female,0
C000027,655,53,1,19860.6,4,0,0,527963.86,Karachi,Male,0
C000028,573,36,3,139897.44,1,0,0,339792.56,Karachi,Female,0
C000029,536,33,0,28543.05,2,1,0,586213.97,Lahore,Female,0
C000030,508,58,1,97302.12,2,0,0,440221.58,Lahore,Male,1
C000031,418,50,4,61991.67,3,0,1,85033.6,Karachi,Male,0
C000032,514,65,7,366330.81,3,1,0,369387.06,Karachi,Male,0
C000033,607,43,5,184687.97,3,1,1,49589.74,Peshawar,Female,0
C000034,451,67,5,462522.14,4,0,0,352357.84,Karachi,Female,0
C000035,804,35,3,11688.86,4,1,0,236112.93,Karachi,Male,0
C000036,542,40,1,326462.09,4,0,0,400245.67,Karachi,Female,0
C000037,608,26,2,485272.4,2,0,1,343281.56,Quetta,Female,0
C000038,753,56,5,87919.36,3,0,1,186356.18,Karachi,Female,0
C000039,735,46,5,221216.12,2,0,1,130916.34,Islamabad,Male,0
C000040,647,71,4,350944.95,1,1,0,266638.43,Peshawar,Male,0
C000041,648,59,5,316569.0,4,0,1,592628.34,Lahore,Female,0
C000042,370,30,10,283013.57,2,1,0,283991.24,Karachi,Male,1
C000043,394,28,5,163378.06,1,0,0,459320.8,Islamabad,Male,1
C000044,829,39,0,364099.98,2,0,1,71905.17,Islamabad,Male,1
C000045,845,23,5,326627.64,1,1,0,252164.83,Islamabad,Female,0
C000046,625,31,4,81400.14,2,1,1,364980.9,Islamabad,Male,0
C000047,520,65,7,482045.37,2,0,0,460670.05,Karachi,Male,1
C000048,527,23,8,277836.45,4,0,0,335894.85,Islamabad,Male,0
C000049,572,66,5,262730.8,2,1,0,328565.51,Karachi,Male,0
C000050,648,29,9,424118.34,2,1,0,467787.87,Lahore,Female,1
C000051,830,28,3,320206.76,3,1,0,215441.12,Lahore,Male,0
C000052,373,56,2,37239.64,2,0,1,90741.89,Karachi,Female,0
C000053,687,44,9,253294.69,4,1,0,234404.26,Karachi,Male,1
C000054,433,29,0,390298.25,2,0,0,129037.89,Karachi,Male,0
C000055,409,42,6,349990.06,4,1,1,580928.75,Lahore,Female,0
C000056,637,54,4,485384.36,3,1,1,363406.47,Peshawar,Female,0
C000057,471,68,3,12458.14,4,1,0,290096.24,Lahore,Male,0
C000058,354,22,8,130609.48,3,0,1,550749.05,Islamabad,Male,0
C000059,735,33,6,274578.23,3,1,0,544202.38,Karachi,Male,0
C000060,503,32,9,309744.9,3,1,1,272790.48,Karachi,Male,0
C000061,630,69,7,137177.99,3,0,1,529847.32,Karachi,Female,1
C000062,783,51,3,413400.83,3,1,0,75854.52,Karachi,Male,0
C000063,691,25,9,82173.9,4,0,1,536002.72,Lahore,Female,1
C000064,772,55,9,424.55,3,0,0,213926.78,Peshawar,Female,0
C000065,435,44,7,476195.7,3,0,0,356468.48,Lahore,Male,0
C000066,424,53,3,195778.4,3,1,0,191025.61,Lahore,Female,0
C000067,616,24,0,478744.9,3,1,1,591487.75,Karachi,Female,0
C000068,540,49,10,138965.8,3,0,0,80196.79,Karachi,Female,0
C000069,601,25,7,31724.32,1,0,1,290294.96,Karachi,Female,0
C000070,842,71,0,386259.8,2,0,0,387753.37,Islamabad,Female,0
C000071,417,33,2,417909.77,2,1,1,384742.86,Lahore,Female,0
C000072,702,45,6,246043.45,3,0,1,453704.7,Karachi,Female,0
C000073,495,54,2,36925.17,3,0,1,445672.58,Lahore,Female,0
C000074,828,24,7,327067.04,1,1,1,484159.91,Lahore,Male,0
C000075,713,25,4,91071.99,3,1,0,171200.95,Karachi,Male,0
C000076,471,51,2,424690.77,1,0,0,247483.64,Lahore,Female,0
C000077,761,27,4,137011.56,2,0,0,253938.54,Islamabad,Male,0
C000078,391,70,4,423853.2,4,0,0,575270.21,Karachi,Male,0
C000079,665,51,7,213462.27,2,0,1,269214.64,Islamabad,Male,0
C000080,499,29,8,298243.92,4,1,0,164246.76,Karachi,Female,0
C000081,773,39,5,394781.26,4,0,1,394112.88,Islamabad,Female,0
C000082,411,37,9,20219.62,4,1,1,279269.47,Peshawar,Male,0
C000083,604,27,2,410583.0,3,1,0,180044.84,Lahore,Male,0
C000084,480,45,1,69324.02,1,0,0,440475.87,Karachi,Female,0
C000085,676,49,10,179209.18,4,1,0,147478.16,Lahore,Female,1
C000086,796,53,2,236390.52,1,0,0,394678.26,Karachi,Female,0
C000087,726,46,8,447713.29,2,1,0,281097.2,Karachi,Male,0
C000088,369,49,6,11220.31,4,0,1,218733.61,Islamabad,Female,0
C000089,840,42,10,279601.3,2,1,0,569750.07,Karachi,Female,0
C000090,548,29,10,321261.25,1,1,0,221668.2,Karachi,Male,0
C000091,676,57,8,158291.15,1,0,0,234604.13,Islamabad,Female,0
C000092,570,30,5,145243.39,2,1,1,527557.48,Islamabad,Male,0
C000093,759,61,7,245234.58,1,1,0,112264.28,Karachi,Female,1
C000094,774,42,9,93550.21,2,1,1,100518.5,Islamabad,Female,0
C000095,480,22,10,234059.46,1,1,1,198316.36,Peshawar,Male,0
C000096,520,25,8,382512.66,3,1,1,371316.12,Karachi,Female,0
C000097,494,31,2,422697.75,2,1,0,255208.09,Lahore,Male,0
C000098,837,47,6,192580.69,4,1,1,380790.51,Islamabad,Female,0
C000099,689,61,8,308650.86,4,1,1,129460.35,Islamabad,Male,0
C000100,703,24,1,10.26,4,1,1,186412.48,Karachi,Male,0
C000101,530,65,6,275176.24,1,0,0,356490.91,Karachi,Male,0
