customer_id,age,gender,city,branch_code,credit_score,tenure_years,account_balance,estimated_salary,num_products,has_credit_card,is_active_member,is_churned,transaction_id,transaction_date,amount,merchant_category,transaction_type,hour,day_of_week,is_weekend,is_fraud
C00295,46,Male,Peshawar,PEW-001,650,5,490385.52,306949.47,3,1,1,0,TXN0002043,2023-01-01,5321.0,online,debit,13,6,1,0
C00202,33,Male,Karachi,KHI-001,394,3,184565.16,169433.31,4,1,1,1,TXN0001402,2023-01-01,10433.36,online,debit,11,6,1,0
C00226,59,Male,Lahore,LHR-001,692,5,408451.94,450423.39,2,0,0,1,TXN0001568,2023-01-01,6772.45,atm,debit,18,6,1,0
C00154,58,Female,Lahore,LHR-001,526,7,55975.83,266973.7,3,0,0,0,TXN0001099,2023-01-01,12911.26,healthcare,withdrawal,14,6,1,0
C00194,63,Female,Lahore,LHR-001,541,8,314256.83,435015.93,2,0,1,1,TXN0001352,2023-01-01,10267.26,grocery,debit,21,6,1,0
C00437,63,Female,Quetta,QTA-001,627,8,84398.05,75341.06,4,0,0,0,TXN0003060,2023-01-01,7317.24,travel,transfer,9,6,1,0
C00125,56,Male,Karachi,KHI-001,436,0,391345.38,163514.23,1,0,1,0,TXN0000888,2023-01-02,2095.59,electronics,debit,16,0,0,0
C00262,51,Male,Islamabad,ISB-001,799,6,272222.18,558377.91,2,1,1,0,TXN0001825,2023-01-02,8448.35,online,debit,15,0,0,0
C00027,43,Female,Karachi,KHI-001,552,0,450335.39,154072.7,4,1,0,0,TXN0000203,2023-01-02,11380.32,grocery,transfer,18,0,0,0
C00234,37,Male,Quetta,QTA-001,687,0,135523.48,410514.12,4,0,0,0,TXN0001625,2023-01-03,270227.69,atm,withdrawal,14,1,0,1
C00057,56,Male,Multan,MUL-001,616,0,270558.27,407910.96,1,0,1,0,TXN0000406,2023-01-03,12394.54,online,transfer,21,1,0,0
C00018,23,Female,Lahore,LHR-001,814,0,97270.47,445676.7,2,0,0,1,TXN0000132,2023-01-03,290791.41,online,transfer,15,1,0,1
C00415,43,Male,Karachi,KHI-001,474,4,130061.3,269307.6,3,0,1,0,TXN0002899,2023-01-03,38200.58,restaurant,transfer,21,1,0,0
C00379,23,Female,Lahore,LHR-001,789,2,119131.75,231010.41,2,1,1,0,TXN0002627,2023-01-03,31681.12,online,debit,9,1,0,0
C00382,61,Male,Lahore,LHR-001,670,1,28237.95,228847.19,1,1,1,1,TXN0002654,2023-01-04,3548.09,grocery,credit,20,2,0,0
C00485,57,Female,Multan,MUL-001,453,4,225749.36,170228.76,2,1,1,1,TXN0003391,2023-01-04,19404.2,atm,withdrawal,13,2,0,0
C00467,37,Female,Karachi,KHI-001,673,2,218959.19,165224.08,1,0,1,0,TXN0003264,2023-01-04,20678.24,grocery,credit,10,2,0,0
C00161,57,Female,Peshawar,PEW-001,539,5,401371.14,284812.62,4,1,0,0,TXN0001145,2023-01-04,3115.47,electronics,debit,21,2,0,0
C00124,58,Male,Peshawar,PEW-001,421,7,159179.22,265826.36,1,1,1,0,TXN0000880,2023-01-04,1160.38,healthcare,debit,19,2,0,0
C00384,30,Female,Lahore,LHR-001,737,5,23182.31,472668.73,2,1,0,0,TXN0002672,2023-01-04,2997.54,electronics,withdrawal,10,2,0,0
C00259,46,Male,Karachi,KHI-001,634,7,71825.63,101101.39,2,0,1,0,TXN0001809,2023-01-05,15570.13,travel,debit,3,3,0,0
