date,revenue
2022-01-01,89625.28
2022-01-02,80000.0
2022-01-03,97509.5
2022-01-04,80000.0
2022-01-05,80000.0
2022-01-06,80000.0
2022-01-07,80000.0
2022-01-08,80000.0
2022-01-09,80000.0
2022-01-10,81142.68
2022-01-11,80000.0
2022-01-12,80000.0
2022-01-13,80000.0
2022-01-14,80000.0
2022-01-15,80000.0
2022-01-16,103026.2
2022-01-17,124562.04
2022-01-18,84894.8
2022-01-19,80136.34
2022-01-20,80000.0
2022-01-21,109483.54
2022-01-22,105288.67
2022-01-23,92818.68
2022-01-24,137609.66
2022-01-25,145379.54
2022-01-26,80000.0
2022-01-27,80000.0
2022-01-28,93372.92
2022-01-29,80000.0
2022-01-30,83693.64
2022-01-31,125678.27
2022-02-01,95769.71
2022-02-02,86258.8
2022-02-03,96438.65
2022-02-04,94339.76
2022-02-05,115132.63
2022-02-06,123706.85
2022-02-07,120659.74
2022-02-08,107403.33
2022-02-09,131301.76
2022-02-10,128464.64
2022-02-11,113584.66
2022-02-12,110158.66
2022-02-13,116248.56
2022-02-14,191625.0
2022-02-15,138829.79
2022-02-16,118324.12
2022-02-17,87854.88
2022-02-18,117431.79
2022-02-19,122471.48
2022-02-20,128395.52
2022-02-21,147778.76
2022-02-22,149268.11
2022-02-23,149601.69
2022-02-24,81826.23
2022-02-25,94411.8
2022-02-26,130302.13
2022-02-27,142416.72
2022-02-28,165888.15
2022-03-01,145228.51
2022-03-02,136407.31
2022-03-03,125440.31
2022-03-04,104683.44
2022-03-05,146652.55
2022-03-06,157403.42
2022-03-07,198928.28
2022-03-08,154525.18
2022-03-09,138008.23
2022-03-10,118916.99
2022-03-11,141419.04
2022-03-12,160645.53
2022-03-13,211492.68
2022-03-14,191000.12
2022-03-15,204142.29
2022-03-16,187833.78
2022-03-17,142171.98
2022-03-18,152143.08
2022-03-19,166443.8
2022-03-20,176157.75
2022-03-21,247481.73
2022-03-22,183217.64
2022-03-23,157479.63
2022-03-24,143047.31
2022-03-25,157674.14
2022-03-26,184976.65
2022-03-27,234322.96
2022-03-28,251382.23
2022-03-29,169733.43
2022-03-30,216056.73
2022-03-31,206126.24
2022-04-01,171574.38
2022-04-02,187858.56
2022-04-03,235172.63
2022-04-04,221096.2
2022-04-05,247995.58
2022-04-06,210149.01
2022-04-07,176182.11
2022-04-08,321821.95
2022-04-09,339339.89
2022-04-10,325021.08
2022-04-11,348610.84
2022-04-12,342971.3
2022-04-13,341903.57
2022-04-14,333692.86
2022-04-15,231989.9
2022-04-16,219075.06
2022-04-17,226563.44
2022-04-18,244751.92
2022-04-19,235686.77
2022-04-20,214186.27
2022-04-21,216613.36
2022-04-22,236299.7
2022-04-23,237758.46
2022-04-24,275623.31
2022-04-25,290769.28
2022-04-26,261460.72
2022-04-27,221341.32
2022-04-28,225114.9
2022-04-29,255171.98
2022-04-30,269523.36
2022-05-01,260330.16
2022-05-02,307369.59
2022-05-03,268493.08
2022-05-04,235223.38
2022-05-05,242202.27
2022-05-06,221912.57
2022-05-07,282356.02
2022-05-08,312532.72
2022-05-09,280451.09
2022-05-10,283621.46
2022-05-11,282335.68
2022-05-12,230839.65
2022-05-13,239297.14
2022-05-14,278205.71
2022-05-15,298626.21
2022-05-16,310965.22
2022-05-17,296265.83
2022-05-18,254106.67
2022-05-19,237009.93
2022-05-20,248727.6
2022-05-21,302580.42
2022-05-22,331704.59
2022-05-23,319304.13
2022-05-24,321644.48
2022-05-25,277670.09
2022-05-26,269920.75
2022-05-27,299410.56
2022-05-28,312095.0
2022-05-29,327825.15
2022-05-30,328182.13
2022-05-31,297802.72
2022-06-01,299816.09
2022-06-02,291630.28
2022-06-03,331904.95
2022-06-04,311542.89
2022-06-05,327094.05
2022-06-06,344866.24
2022-06-07,353532.46
2022-06-08,313280.32
2022-06-09,291347.18
2022-06-10,286397.4
2022-06-11,306197.57
2022-06-12,355876.41
2022-06-13,342527.88
2022-06-14,371349.92
2022-06-15,316062.33
2022-06-16,310806.73
2022-06-17,417848.41
2022-06-18,433517.7
2022-06-19,482543.91
2022-06-20,496049.78
2022-06-21,443996.82
2022-06-22,427820.26
2022-06-23,416499.45
2022-06-24,326178.85
2022-06-25,340845.55
2022-06-26,352858.73
2022-06-27,346176.78
2022-06-28,376349.63
2022-06-29,344004.58
2022-06-30,277635.87
2022-07-01,334448.49
2022-07-02,334000.96
2022-07-03,348515.75
2022-07-04,378538.56
2022-07-05,358090.96
2022-07-06,332209.7
2022-07-07,301398.83
2022-07-08,341160.7
