transaction_ref,amount,merchant_category,transaction_type,location,hour,day_of_week,is_weekend,transaction_date,is_fraud
TXN0000000,8358.83,grocery,debit,Lahore,10,6,1,2024-01-01 00:00:00,0
TXN0000001,1513.67,grocery,debit,Lahore,9,0,0,2024-01-01 00:30:00,0
TXN0000002,16470.5,online,credit,Peshawar,16,2,0,2024-01-01 01:00:00,0
TXN0000003,7597.05,atm,transfer,Peshawar,18,3,0,2024-01-01 01:30:00,0
TXN0000004,1368.24,electronics,transfer,Peshawar,11,1,0,2024-01-01 02:00:00,0
TXN0000005,26232.84,online,credit,Karachi,17,2,0,2024-01-01 02:30:00,0
TXN0000006,5844.56,online,debit,Peshawar,20,6,1,2024-01-01 03:00:00,0
TXN0000007,605.54,grocery,transfer,Peshawar,13,4,1,2024-01-01 03:30:00,0
TXN0000008,7885.83,electronics,credit,Quetta,9,1,1,2024-01-01 04:00:00,0
TXN0000009,2335.65,grocery,debit,Karachi,16,5,1,2024-01-01 04:30:00,0
TXN0000010,13024.62,grocery,debit,Islamabad,14,3,0,2024-01-01 05:00:00,0
TXN0000011,265724.55,atm,credit,Islamabad,3,3,0,2024-01-01 05:30:00,1
TXN0000012,30885.83,atm,credit,Multan,12,1,0,2024-01-01 06:00:00,0
TXN0000013,5575.15,atm,transfer,Quetta,14,4,0,2024-01-01 06:30:00,0
TXN0000014,4855.12,atm,withdrawal,Lahore,21,0,0,2024-01-01 07:00:00,0
TXN0000015,11202.35,atm,debit,Multan,11,0,0,2024-01-01 07:30:00,0
TXN0000016,1136.85,online,withdrawal,Islamabad,20,3,1,2024-01-01 08:00:00,0
TXN0000017,6333.41,online,transfer,Karachi,17,6,0,2024-01-01 08:30:00,0
TXN0000018,6321.63,online,credit,Lahore,20,6,0,2024-01-01 09:00:00,0
TXN0000019,749.85,online,transfer,Peshawar,14,4,1,2024-01-01 09:30:00,0
TXN0000020,4330.06,electronics,transfer,Karachi,9,3,1,2024-01-01 10:00:00,0
TXN0000021,15354.1,atm,debit,Lahore,14,0,0,2024-01-01 10:30:00,0
TXN0000022,15512.07,electronics,transfer,Islamabad,11,3,1,2024-01-01 11:00:00,0
TXN0000023,836.11,online,transfer,Multan,11,1,1,2024-01-01 11:30:00,0
TXN0000024,760.83,travel,transfer,Peshawar,8,6,0,2024-01-01 12:00:00,0
TXN0000025,2438.03,electronics,transfer,Peshawar,19,6,0,2024-01-01 12:30:00,0
TXN0000026,16620.57,healthcare,credit,Karachi,10,5,1,2024-01-01 13:00:00,0
TXN0000027,1104.01,electronics,transfer,Multan,12,1,1,2024-01-01 13:30:00,0
TXN0000028,10183.63,electronics,transfer,Peshawar,12,5,1,2024-01-01 14:00:00,0
TXN0000029,853.25,grocery,credit,Lahore,9,4,1,2024-01-01 14:30:00,0
TXN0000030,7807.01,atm,debit,Quetta,11,0,1,2024-01-01 15:00:00,0
TXN0000031,3521.29,online,transfer,Islamabad,8,4,1,2024-01-01 15:30:00,0
TXN0000032,12443.92,online,debit,Karachi,16,4,0,2024-01-01 16:00:00,0
TXN0000033,2129.35,atm,transfer,Multan,8,0,0,2024-01-01 16:30:00,0
TXN0000034,258389.58,electronics,withdrawal,Quetta,2,2,1,2024-01-01 17:00:00,1
TXN0000035,2150.18,grocery,debit,Quetta,14,2,1,2024-01-01 17:30:00,0
TXN0000036,10004.61,grocery,debit,Karachi,10,3,0,2024-01-01 18:00:00,0
TXN0000037,16551.37,atm,debit,Lahore,19,2,1,2024-01-01 18:30:00,0
TXN0000038,1084.74,online,credit,Multan,8,1,0,2024-01-01 19:00:00,0
TXN0000039,16114.97,grocery,withdrawal,Islamabad,14,6,1,2024-01-01 19:30:00,0
TXN0000040,7202.85,grocery,credit,Karachi,10,5,1,2024-01-01 20:00:00,0
TXN0000041,1087.57,grocery,debit,Multan,20,6,1,2024-01-01 20:30:00,0
TXN0000042,4462.53,online,credit,Quetta,17,4,1,2024-01-01 21:00:00,0
TXN0000043,1403.02,grocery,transfer,Quetta,19,6,0,2024-01-01 21:30:00,0
TXN0000044,9641.06,grocery,debit,Karachi,19,3,0,2024-01-01 22:00:00,0
TXN0000045,11379.29,electronics,transfer,Multan,13,4,0,2024-01-01 22:30:00,0
TXN0000046,894.58,online,debit,Quetta,20,0,0,2024-01-01 23:00:00,0
TXN0000047,5644.02,online,transfer,Karachi,19,6,1,2024-01-01 23:30:00,0
TXN0000048,13483.0,travel,debit,Karachi,21,2,0,2024-01-02 00:00:00,0
TXN0000049,22011.38,online,debit,Islamabad,13,0,0,2024-01-02 00:30:00,0
TXN0000050,203999.7,online,transfer,Karachi,3,3,0,2024-01-02 01:00:00,1
TXN0000051,24010.66,healthcare,credit,Multan,19,5,1,2024-01-02 01:30:00,0
TXN0000052,6137.61,grocery,debit,Multan,11,1,1,2024-01-02 02:00:00,0
TXN0000053,4009.52,online,withdrawal,Quetta,19,2,1,2024-01-02 02:30:00,0
TXN0000054,15081.7,travel,transfer,Peshawar,18,0,1,2024-01-02 03:00:00,0
TXN0000055,5433.68,grocery,debit,Islamabad,13,5,1,2024-01-02 03:30:00,0
TXN0000056,5107.79,atm,credit,Multan,18,6,0,2024-01-02 04:00:00,0
TXN0000057,5391.66,electronics,transfer,Quetta,17,2,0,2024-01-02 04:30:00,0
TXN0000058,15007.31,electronics,transfer,Quetta,11,4,0,2024-01-02 05:00:00,0
TXN0000059,14267.55,electronics,debit,Islamabad,20,1,0,2024-01-02 05:30:00,0
TXN0000060,4133.68,grocery,credit,Islamabad,15,6,1,2024-01-02 06:00:00,0
TXN0000061,3243.32,travel,credit,Quetta,16,5,0,2024-01-02 06:30:00,0
TXN0000062,5417.06,travel,transfer,Peshawar,9,2,1,2024-01-02 07:00:00,0
TXN0000063,6803.51,atm,debit,Lahore,14,6,1,2024-01-02 07:30:00,0
TXN0000064,2178.01,atm,transfer,Quetta,16,1,0,2024-01-02 08:00:00,0
TXN0000065,12637.29,grocery,debit,Islamabad,16,5,0,2024-01-02 08:30:00,0
TXN0000066,5331.77,online,transfer,Karachi,19,4,0,2024-01-02 09:00:00,0
TXN0000067,3252.27,restaurant,withdrawal,Karachi,12,4,0,2024-01-02 09:30:00,0
TXN0000068,903.75,grocery,debit,Islamabad,8,0,0,2024-01-02 10:00:00,0
TXN0000069,557019.72,travel,debit,Islamabad,23,3,1,2024-01-02 10:30:00,1
TXN0000070,23851.66,atm,credit,Lahore,15,0,0,2024-01-02 11:00:00,0
TXN0000071,2911.9,online,transfer,Multan,8,1,1,2024-01-02 11:30:00,0
TXN0000072,1479.65,grocery,debit,Islamabad,9,0,1,2024-01-02 12:00:00,0
TXN0000073,4939.46,electronics,transfer,Karachi,20,5,0,2024-01-02 12:30:00,0
TXN0000074,2934.82,online,transfer,Peshawar,20,2,1,2024-01-02 13:00:00,0
TXN0000075,286.34,healthcare,transfer,Islamabad,8,5,1,2024-01-02 13:30:00,0
TXN0000076,3122.39,grocery,transfer,Lahore,12,0,1,2024-01-02 14:00:00,0
TXN0000077,6284.01,healthcare,debit,Peshawar,9,3,1,2024-01-02 14:30:00,0
TXN0000078,6418.56,electronics,withdrawal,Lahore,17,5,1,2024-01-02 15:00:00,0
